Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Player URL,
287,2008,2017,TOT,NBA,Kevin Durant,703,703,26278,6463,13254,5203,9933,1260,3321,4935,5596,553,4478,5031,2663,840,738,2221,1330,19121,.488,.524,.379,.535,.882,.608,/players/d/duranke01.html,
288,2012,2012,NOH,NBA,Jerome Dyson,9,1,180,19,48,18,40,1,8,28,36,2,17,19,18,11,2,20,19,67,.396,.450,.125,.406,.778,.525,/players/d/dysonje01.html,
289,2015,2016,NYK,NBA,Cleanthony Early,56,9,801,88,254,62,155,26,99,39,52,26,97,123,42,26,15,49,73,241,.346,.400,.263,.398,.750,.435,/players/e/earlycl01.html,
290,2011,2013,LAL,NBA,Devin Ebanks,63,15,711,82,213,74,177,8,36,52,72,51,71,122,24,18,12,35,56,224,.385,.418,.222,.404,.722,.458,/players/e/ebankde01.html,
291,2016,2017,TOT,NBA,Jarell Eddie,31,0,209,26,84,7,21,19,63,16,17,3,27,30,5,6,1,2,6,87,.310,.333,.302,.423,.941,.476,/players/e/eddieja01.html,
292,2014,2014,CLE,NBA,Shane Edwards,2,0,12,1,3,1,3,0,0,0,0,1,1,2,0,0,0,1,1,2,.333,.333,,.333,,.333,/players/e/edwarsh01.html,
293,2017,2017,DET,NBA,Henry Ellenson,19,2,146,23,64,13,29,10,35,4,8,8,33,41,7,1,1,14,6,60,.359,.448,.286,.438,.500,.444,/players/e/ellenhe01.html,
294,2010,2017,TOT,NBA,Wayne Ellington,515,125,10382,1456,3535,855,1940,601,1595,356,419,175,916,1091,560,251,34,346,556,3869,.412,.441,.377,.497,.850,.520,/players/e/ellinwa01.html,
295,2008,2017,TOT,NBA,Monta Ellis,707,657,25487,5111,11360,4441,9236,670,2124,2360,3046,436,2090,2526,3459,1245,249,1967,1671,13252,.450,.481,.315,.479,.775,.522,/players/e/ellismo01.html,
296,2008,2012,TOT,NBA,Francisco Elson,201,29,2482,235,536,234,531,1,5,87,112,191,368,559,92,74,71,129,331,558,.438,.441,.200,.439,.777,.477,/players/e/elsonfr01.html,
297,2008,2014,TOT,NBA,Melvin Ely,115,7,1387,153,332,153,332,0,0,68,115,85,199,284,54,13,39,79,192,374,.461,.461,,.461,.591,.489,/players/e/elyme01.html,
298,2017,2017,PHI,NBA,Joel Embiid,31,31,786,200,429,164,331,36,98,191,244,61,182,243,66,27,76,117,112,627,.466,.495,.367,.508,.783,.584,/players/e/embiijo01.html,
299,2012,2012,NJN,NBA,Andre Emmett,6,0,45,4,7,4,6,0,1,5,8,2,4,6,1,2,1,2,2,13,.571,.667,.000,.571,.625,.618,/players/e/emmetan01.html,
300,2013,2013,DET,NBA,Kim English,41,0,407,42,112,28,62,14,50,21,29,8,29,37,26,16,3,19,46,119,.375,.452,.280,.438,.724,.477,/players/e/engliki01.html,
301,2015,2017,TOT,NBA,James Ennis,148,36,2881,301,681,193,391,108,290,190,238,141,336,477,133,87,41,117,282,900,.442,.494,.372,.521,.798,.573,/players/e/ennisja01.html,
302,2015,2017,TOT,NBA,Tyler Ennis,132,10,1653,226,539,174,387,52,152,51,66,29,126,155,254,68,8,133,158,555,.419,.450,.342,.468,.773,.489,/players/e/ennisty01.html,
303,2011,2012,TOT,NBA,Semih Erden,69,17,928,101,185,101,185,0,0,60,101,57,133,190,29,25,29,50,164,262,.546,.546,,.546,.594,.571,/players/e/erdense01.html,
304,2011,2016,TOT,NBA,Jeremy Evans,249,9,2621,363,639,357,613,6,26,145,211,238,402,640,107,90,121,84,290,877,.568,.582,.231,.573,.687,.599,/players/e/evansje01.html,
305,2008,2012,TOT,NBA,Maurice Evans,331,101,6769,867,1956,559,1118,308,838,227,288,299,496,795,237,178,51,146,595,2269,.443,.500,.368,.522,.788,.545,/players/e/evansma01.html,
306,2008,2015,TOT,NBA,Reggie Evans,455,170,8526,595,1316,594,1311,1,5,580,1100,1080,2134,3214,250,334,53,496,1034,1771,.452,.453,.200,.453,.527,.492,/players/e/evansre01.html,
307,2010,2017,TOT,NBA,Tyreke Evans,473,376,15233,2887,6509,2578,5463,309,1046,1548,2046,423,1831,2254,2417,619,187,1254,1095,7631,.444,.472,.295,.467,.757,.515,/players/e/evansty01.html,
308,2011,2011,NOH,NBA,Patrick Ewing,7,0,19,0,5,0,3,0,2,3,4,1,1,2,2,0,1,1,1,3,.000,.000,.000,.000,.750,.222,/players/e/ewingpa02.html,
309,2015,2017,UTA,NBA,Dante Exum,148,67,3045,300,779,173,366,127,413,78,105,57,206,263,309,62,26,198,293,805,.385,.473,.308,.467,.743,.488,/players/e/exumda01.html,
310,2011,2012,TOT,NBA,Christian Eyenga,51,18,1049,136,331,110,237,26,94,22,36,31,106,137,40,37,33,50,85,320,.411,.464,.277,.450,.611,.461,/players/e/eyengch01.html,
311,2013,2016,GSW,NBA,Festus Ezeli,170,61,2394,275,536,275,536,0,0,162,291,292,433,725,63,48,166,133,328,712,.513,.513,,.513,.557,.536,/players/e/ezelife01.html,
312,2012,2017,DEN,NBA,Kenneth Faried,409,365,10539,1958,3596,1956,3577,2,19,940,1440,1300,2181,3481,432,322,356,570,1047,4858,.544,.547,.105,.545,.653,.574,/players/f/farieke01.html,
313,2008,2017,TOT,NBA,Jordan Farmar,432,38,8750,1336,3158,798,1736,538,1422,358,483,139,700,839,1316,347,49,622,636,3568,.423,.460,.378,.508,.741,.529,/players/f/farmajo01.html,
314,2009,2009,SAS,NBA,Desmon Farmer,3,0,54,4,14,1,2,3,12,2,2,0,6,6,2,0,0,4,6,13,.286,.500,.250,.393,1.000,.437,/players/f/farmede01.html,
315,2014,2014,BOS,NBA,Vitor Faverani,37,8,488,64,147,52,107,12,40,24,37,42,86,128,16,14,27,41,74,164,.435,.486,.300,.476,.649,.502,/players/f/favervi01.html,
316,2011,2017,TOT,NBA,Derrick Favors,479,289,12348,2204,4322,2200,4296,4,26,1067,1606,1169,2266,3435,510,388,625,723,1337,5479,.510,.512,.154,.510,.664,.545,/players/f/favorde01.html,
317,2008,2008,TOT,NBA,Nick Fazekas,26,0,269,46,82,46,80,0,2,15,22,34,55,89,11,8,11,13,25,107,.561,.575,.000,.561,.682,.584,/players/f/fazekni01.html,
318,2017,2017,CLE,NBA,Kay Felder,42,0,386,62,158,55,136,7,22,35,49,3,38,41,58,18,7,30,38,166,.392,.404,.318,.415,.714,.462,/players/f/feldeka01.html,
319,2016,2017,CHI,NBA,Cristiano Felicio,97,4,1361,168,293,168,289,0,4,85,128,154,259,413,66,31,30,46,141,421,.573,.581,.000,.573,.664,.603,/players/f/feliccr01.html,
320,2014,2014,CLE,NBA,Carrick Felix,7,0,38,7,14,5,9,2,5,3,4,1,5,6,4,0,0,4,4,19,.500,.556,.400,.571,.750,.603,/players/f/felixca01.html,
321,2008,2017,TOT,NBA,Raymond Felton,698,528,21847,3088,7365,2464,5426,624,1939,1305,1640,395,1750,2145,3850,865,167,1506,1389,8105,.419,.454,.322,.462,.796,.501,/players/f/feltora01.html,
322,2009,2012,TOT,NBA,Rudy Fernandez,249,10,5965,740,1853,327,706,413,1147,361,430,128,480,608,554,249,40,286,369,2254,.399,.463,.360,.511,.840,.552,/players/f/fernaru01.html,
323,2017,2017,TOT,NBA,Yogi Ferrell,46,29,1197,160,394,92,218,68,176,74,89,20,91,111,172,42,9,70,90,462,.406,.422,.386,.492,.831,.533,/players/f/ferreyo01.html,
324,2008,2012,TOT,NBA,Kyrylo Fesenko,135,7,1107,125,252,125,250,0,2,55,134,97,172,269,40,19,53,66,224,305,.496,.500,.000,.496,.410,.490,/players/f/fesenky01.html,
325,2011,2015,TOT,NBA,Landry Fields,255,176,6010,684,1446,564,1085,120,361,243,365,248,844,1092,419,212,45,270,310,1731,.473,.520,.332,.515,.666,.539,/players/f/fieldla01.html,
326,2008,2010,TOT,NBA,Michael Finley,209,145,5249,697,1634,402,876,295,758,123,157,59,536,595,271,76,33,138,208,1812,.427,.459,.389,.517,.783,.532,/players/f/finlemi01.html,
327,2017,2017,DAL,NBA,Dorian Finney-Smith,81,35,1642,124,333,68,142,56,191,46,61,55,167,222,67,52,25,45,125,350,.372,.479,.293,.456,.754,.486,/players/f/finnedo01.html,
328,2008,2014,TOT,NBA,Derek Fisher,505,380,12725,1374,3422,848,2043,526,1379,619,729,114,846,960,1259,510,36,462,1098,3893,.402,.415,.381,.478,.849,.520,/players/f/fishede01.html,
329,2010,2012,TOT,NBA,Jonny Flynn,163,90,3738,551,1379,433,1030,118,349,284,351,44,263,307,634,122,7,382,179,1504,.400,.420,.338,.442,.809,.490,/players/f/flynnjo01.html,
330,2012,2012,NOH,NBA,Jeff Foote,4,0,39,2,6,2,6,0,0,0,0,1,5,6,0,0,1,2,5,4,.333,.333,,.333,,.333,/players/f/footeje01.html,
331,2017,2017,SAS,NBA,Bryn Forbes,36,0,285,36,99,19,46,17,53,5,6,2,21,23,23,1,0,11,20,94,.364,.413,.321,.449,.833,.462,/players/f/forbebr01.html,
332,2011,2012,TOT,NBA,Gary Forbes,111,13,1504,236,544,188,403,48,141,125,178,55,163,218,103,47,10,100,133,645,.434,.467,.340,.478,.702,.518,/players/f/forbega01.html,
333,2008,2012,TOT,NBA,T.J. Ford,227,110,5610,955,2134,889,1889,66,245,505,603,143,464,607,1071,231,37,458,467,2481,.448,.471,.269,.463,.837,.517,/players/f/fordtj01.html,
334,2012,2012,TOT,NBA,Courtney Fortson,10,0,95,11,32,8,19,3,13,10,15,6,9,15,10,3,0,10,5,35,.344,.421,.231,.391,.667,.453,/players/f/fortsco01.html,
335,2008,2012,IND,NBA,Jeff Foster,234,84,5048,493,957,490,942,3,15,220,357,691,958,1649,330,144,117,197,648,1209,.515,.520,.200,.517,.616,.543,/players/f/fosteje01.html,
336,2013,2017,TOT,NBA,Evan Fournier,319,177,8392,1393,3130,913,1864,480,1266,652,824,145,679,824,691,255,16,488,754,3918,.445,.490,.379,.522,.791,.561,/players/f/fournev01.html,
337,2008,2017,TOT,NBA,Randy Foye,670,421,17400,2404,6059,1368,3227,1036,2832,1053,1237,196,1272,1468,1880,475,199,954,1400,6897,.397,.424,.366,.482,.851,.522,/players/f/foyera01.html,
338,2008,2009,TOT,NBA,Adonal Foyle,92,0,836,77,164,77,164,0,0,19,40,80,154,234,19,16,53,35,99,173,.470,.470,,.470,.475,.476,/players/f/foylead01.html,
339,2008,2008,LAC,NBA,Richie Frahm,10,2,163,20,54,13,29,7,25,0,2,4,10,14,8,2,0,6,7,47,.370,.448,.280,.435,.000,.428,/players/f/frahmri01.html,
340,2008,2008,HOU,NBA,Steve Francis,10,3,199,19,57,15,40,4,17,13,23,8,15,23,30,9,5,14,25,55,.333,.375,.235,.368,.565,.410,/players/f/francst01.html,
341,2014,2015,TOT,NBA,Jamaal Franklin,24,0,174,17,41,11,28,6,13,2,2,5,20,25,9,4,3,14,27,42,.415,.393,.462,.488,1.000,.501,/players/f/frankja01.html,
342,2015,2017,TOT,NBA,Tim Frazier,127,40,2505,280,694,219,501,61,193,161,224,66,245,311,557,97,8,191,232,782,.403,.437,.316,.447,.719,.493,/players/f/fraziti01.html,
