Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,SALARY
764,2008,2017,TOT,NBA,Jameer Nelson,610,508,17799,2686,6226,1753,3716,933,2510,794,962,272,1610,1882,3460,524,47,1315,1516,7099,0.431,0.472,0.372,0.506,0.825,0.534,60373022
765,2008,2010,TOT,NBA,Rasho Nesterovic,183,66,3113,562,1053,561,1049,1,4,63,86,260,411,671,216,60,107,139,357,1188,0.534,0.535,0.25,0.534,0.733,0.545,18230000
766,2016,2017,UTA,NBA,Raul Neto,121,53,1845,221,509,147,316,74,193,60,79,21,129,150,208,83,7,124,170,576,0.434,0.465,0.383,0.507,0.759,0.53,1937800
767,2008,2008,TOT,NBA,Ira Newble,49,13,698,76,174,60,125,16,49,20,26,47,78,125,18,28,8,34,69,188,0.437,0.48,0.327,0.483,0.769,0.507,3441900
768,2017,2017,IND,NBA,Georges Niang,23,0,93,9,36,8,24,1,12,2,2,2,15,17,5,3,0,5,6,21,0.25,0.333,0.083,0.264,1,0.285,650000
769,2008,2009,TOT,NBA,Demetris Nichols,18,0,58,9,32,6,17,3,15,1,2,0,7,7,2,0,4,4,5,22,0.281,0.353,0.2,0.328,0.5,0.335,515056
770,2013,2017,TOT,NBA,Andrew Nicholson,285,36,4080,708,1517,621,1246,87,271,197,255,188,669,857,126,74,95,212,458,1700,0.467,0.498,0.321,0.495,0.773,0.522,12915587
771,2008,2017,TOT,NBA,Joakim Noah,618,511,17863,2129,4343,2129,4328,0,15,1299,1858,2072,3718,5790,1807,511,840,1073,1764,5557,0.49,0.492,0,0.49,0.699,0.538,87015096
772,2008,2012,TOT,NBA,Andres Nocioni,298,91,6476,1035,2462,646,1432,389,1030,467,597,154,954,1108,318,111,118,365,770,2926,0.42,0.451,0.378,0.499,0.782,0.537,37500000
773,2015,2017,TOT,NBA,Nerlens Noel,193,152,5323,792,1549,791,1546,1,3,351,568,432,1015,1447,300,316,292,355,526,1936,0.511,0.512,0.333,0.512,0.618,0.538,14329730
774,2015,2017,TOR,NBA,Lucas Nogueira,92,7,1336,133,208,129,193,4,15,54,86,102,199,301,50,66,101,59,172,324,0.639,0.668,0.267,0.649,0.628,0.659,5526000
775,2008,2017,TOT,NBA,Steve Novak,432,5,5466,733,1667,171,369,562,1298,98,112,64,501,565,126,86,38,77,350,2126,0.44,0.463,0.433,0.608,0.875,0.619,21036397
776,2008,2017,DAL,NBA,Dirk Nowitzki,713,706,23800,5464,11492,4624,9290,840,2202,3319,3723,555,4496,5051,1712,494,495,1124,1575,15087,0.475,0.498,0.381,0.512,0.891,0.575,175541528
