Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,SALARY
922,2011,2014,TOT,NBA,Mustafa Shakur,25,0,170,21,62,20,51,1,11,9,17,7,15,22,29,5,3,20,17,52,0.339,0.392,0.091,0.347,0.529,0.374,95120
923,2009,2009,DET,NBA,Walter Sharpe,8,0,20,4,11,4,9,0,2,0,2,0,3,3,0,0,2,0,3,8,0.364,0.444,0,0.364,0,0.337,442114
924,2013,2014,TOT,NBA,Tornike Shengelia,45,0,247,23,51,22,43,1,8,12,24,13,26,39,17,6,2,23,29,59,0.451,0.512,0.125,0.461,0.5,0.479,1262476
925,2012,2017,TOT,NBA,Iman Shumpert,370,199,9461,1014,2558,635,1443,379,1115,330,432,280,995,1275,704,433,90,453,888,2737,0.396,0.44,0.34,0.47,0.764,0.498,26264215
926,2013,2015,TOT,NBA,Alexey Shved,182,25,3271,445,1207,283,678,162,529,297,390,85,270,355,460,110,49,243,201,1349,0.369,0.417,0.306,0.436,0.762,0.489,9366666
927,2017,2017,TOR,NBA,Pascal Siakam,55,38,859,103,205,102,198,1,7,22,32,64,121,185,17,26,45,33,109,229,0.502,0.515,0.143,0.505,0.688,0.523,1196040
928,2012,2012,PHI,NBA,Xavier Silas,2,0,39,4,15,3,9,1,6,2,3,2,2,4,3,0,0,3,5,11,0.267,0.333,0.167,0.3,0.667,0.337
929,2011,2011,PHO,NBA,Garret Siler,21,0,101,17,31,17,31,0,0,11,22,16,12,28,3,1,4,10,20,45,0.548,0.548,,0.548,0.5,0.553,524737
930,2008,2012,TOT,NBA,Bobby Simmons,194,67,4079,477,1147,260,588,217,559,118,155,167,454,621,200,130,21,169,421,1289,0.416,0.442,0.388,0.51,0.761,0.53,31109454
931,2008,2009,TOT,NBA,Cedric Simmons,32,0,171,15,39,15,39,0,0,7,26,11,23,34,2,3,9,8,16,37,0.385,0.385,,0.385,0.269,0.367,3371880
932,2016,2017,SAS,NBA,Jonathon Simmons,133,10,2205,299,663,251,514,48,149,168,224,36,220,256,184,71,30,129,249,814,0.451,0.488,0.322,0.487,0.75,0.534,1399729
933,2008,2009,TOT,NBA,Courtney Sims,5,0,24,3,7,3,7,0,0,0,0,3,3,6,1,0,0,1,3,6,0.429,0.429,,0.429,,0.429,296778
934,2013,2016,TOT,NBA,Henry Sims,135,61,2542,403,856,399,833,4,23,221,288,248,422,670,140,76,64,153,289,1031,0.471,0.479,0.174,0.473,0.767,0.525,1151865
935,2013,2017,TOT,NBA,Kyle Singler,344,172,7735,836,1994,539,1173,297,821,334,421,316,700,1016,270,202,110,275,730,2303,0.419,0.46,0.362,0.494,0.793,0.528,12972500
936,2009,2009,TOT,NBA,Sean Singletary,37,2,303,31,85,21,60,10,25,18,21,10,25,35,29,11,0,23,45,90,0.365,0.35,0.4,0.424,0.857,0.478,442114
937,2012,2014,WAS,NBA,Chris Singleton,148,62,2605,233,620,175,438,58,182,88,139,112,360,472,92,117,57,100,325,612,0.376,0.4,0.319,0.423,0.633,0.449,4700040
938,2009,2012,TOT,NBA,James Singleton,131,9,2123,255,550,233,464,22,86,134,155,222,385,607,63,63,79,95,250,666,0.464,0.502,0.256,0.484,0.865,0.539,1856458
939,2014,2014,DET,NBA,Peyton Siva,24,0,224,18,57,11,32,7,25,11,15,2,12,14,34,9,1,18,27,54,0.316,0.344,0.28,0.377,0.733,0.425,100000
940,2008,2012,TOT,NBA,Brian Skinner,136,22,1820,194,429,192,424,2,5,69,118,144,324,468,42,41,133,89,227,459,0.452,0.453,0.4,0.455,0.585,0.477,4013330
941,2012,2016,TOT,NBA,Donald Sloan,218,66,3749,449,1098,351,782,98,316,193,256,54,401,455,651,83,8,230,193,1189,0.409,0.449,0.31,0.454,0.754,0.491,3342417
942,2015,2017,BOS,NBA,Marcus Smart,207,72,5874,628,1755,382,910,246,845,414,543,215,567,782,757,315,70,329,551,1916,0.358,0.42,0.291,0.428,0.762,0.48,10293240
943,2014,2014,NYK,NBA,Chris Smith,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
944,2008,2012,TOT,NBA,Craig Smith,321,44,5289,975,1744,974,1723,1,21,521,777,394,757,1151,273,132,73,339,734,2472,0.559,0.565,0.048,0.559,0.671,0.593,8980136
945,2012,2016,TOT,NBA,Greg Smith,149,12,1834,243,394,243,393,0,1,110,191,165,324,489,41,32,59,65,290,596,0.617,0.618,0,0.617,0.576,0.623,3144007
946,2011,2017,TOT,NBA,Ish Smith,404,107,7224,1118,2719,1001,2315,117,404,272,412,136,776,912,1486,288,89,514,454,2625,0.411,0.432,0.29,0.433,0.66,0.453,11981480
947,2008,2017,TOT,NBA,J.R. Smith,686,225,19411,3383,8011,1891,4067,1492,3944,1113,1534,377,2033,2410,1621,753,166,971,1634,9371,0.422,0.465,0.378,0.515,0.726,0.539,54455150
948,2008,2017,TOT,NBA,Jason Smith,563,101,9554,1506,3186,1435,2992,71,194,516,664,622,1348,1970,425,202,388,478,1263,3599,0.473,0.48,0.366,0.484,0.777,0.517,26244993
949,2012,2012,NJN,NBA,Jerry Smith,5,0,46,3,14,2,8,1,6,0,0,2,5,7,4,5,0,0,5,7,0.214,0.25,0.167,0.25,,0.25
950,2008,2011,TOT,NBA,Joe Smith,214,43,3489,548,1195,544,1178,4,17,254,336,321,521,842,132,57,110,123,416,1354,0.459,0.462,0.235,0.46,0.756,0.504,12653636
951,2008,2016,TOT,NBA,Josh Smith,665,568,21732,4049,8874,3675,7581,374,1293,1727,2832,1226,3814,5040,2235,859,1154,1673,1800,10199,0.456,0.485,0.289,0.477,0.61,0.504,102119543
952,2012,2013,POR,NBA,Nolan Smith,84,4,829,109,294,90,221,19,73,40,56,24,59,83,97,25,4,71,81,277,0.371,0.407,0.26,0.403,0.714,0.435,2711880
953,2015,2016,TOT,NBA,Russ Smith,27,0,131,15,47,12,31,3,16,20,26,2,13,15,19,8,1,19,18,53,0.319,0.387,0.188,0.351,0.769,0.453,1632964
954,2014,2017,TOT,NBA,Tony Snell,293,147,6280,660,1587,330,702,330,885,152,187,91,656,747,289,132,57,199,395,1802,0.416,0.47,0.373,0.52,0.813,0.54,6785647
955,2008,2008,CLE,NBA,Eric Snow,22,5,305,6,38,6,36,0,2,10,22,4,16,20,42,10,4,10,30,22,0.158,0.167,0,0.158,0.455,0.231,14015625
956,2008,2008,TOT,NBA,Kirk Snyder,36,18,761,96,189,91,166,5,23,64,88,30,96,126,64,20,15,52,55,261,0.508,0.548,0.217,0.521,0.727,0.573,2358433
957,2009,2009,TOT,NBA,Will Solomon,53,9,712,105,245,77,159,28,86,25,34,12,52,64,133,27,4,54,71,263,0.429,0.484,0.326,0.486,0.735,0.506,711517
958,2008,2011,TOT,NBA,Darius Songaila,242,43,4556,705,1427,704,1418,1,9,209,241,217,523,740,301,179,50,245,603,1620,0.494,0.496,0.111,0.494,0.867,0.528,17521000
959,2014,2014,TOT,NBA,James Southerland,4,0,30,5,15,2,9,3,6,1,2,0,8,8,0,1,2,1,3,14,0.333,0.222,0.5,0.433,0.5,0.441
960,2009,2017,TOT,NBA,Marreese Speights,653,75,9965,2043,4401,1897,3983,146,418,958,1197,926,1816,2742,421,181,334,574,1458,5190,0.464,0.476,0.349,0.481,0.8,0.527,24272206
961,2011,2017,TOT,NBA,Tiago Splitter,355,153,6812,1073,1932,1071,1918,2,14,668,958,576,1203,1779,423,198,209,384,685,2816,0.555,0.558,0.143,0.556,0.697,0.598,47316000
962,2008,2013,TOT,NBA,Jerry Stackhouse,184,15,3296,464,1186,312,722,152,464,240,277,69,244,313,279,70,29,200,190,1320,0.391,0.432,0.328,0.455,0.866,0.505,19345672
963,2015,2017,TOT,NBA,Nik Stauskas,226,63,5124,569,1475,283,642,286,833,268,332,55,442,497,393,109,69,262,351,1692,0.386,0.441,0.343,0.483,0.807,0.522,8608320
964,2014,2014,MIL,NBA,D.J. Stephens,3,0,15,3,7,3,7,0,0,1,1,1,4,5,0,0,0,0,0,7,0.429,0.429,,0.429,1,0.47,35000
965,2011,2017,TOT,NBA,Lance Stephenson,358,189,8893,1251,2776,1045,2106,206,670,398,577,238,1247,1485,1081,246,48,619,702,3106,0.451,0.496,0.307,0.488,0.69,0.513,26806672
966,2016,2016,TOT,NBA,Alex Stepheson,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,0.333,0.333,,0.333,0.333,0.341,92664
967,2008,2013,TOT,NBA,DeShawn Stevenson,357,240,7609,694,1938,271,706,423,1232,268,374,104,627,731,576,171,38,250,426,2079,0.358,0.384,0.343,0.467,0.717,0.494,17429166
968,2012,2015,TOT,NBA,Greg Stiemsma,203,42,3048,269,529,269,528,0,1,103,146,190,489,679,97,118,232,143,512,641,0.509,0.509,0,0.509,0.705,0.54,6994279
969,2015,2015,SAC,NBA,David Stockton,3,0,33,2,6,1,4,1,2,3,6,0,2,2,9,2,0,4,1,8,0.333,0.25,0.5,0.417,0.5,0.463,29843
970,2008,2011,TOT,NBA,Peja Stojakovic,233,204,7364,1116,2660,551,1264,565,1396,342,376,161,736,897,292,170,20,185,335,3139,0.42,0.436,0.405,0.526,0.91,0.555,53116320
971,2015,2017,TOT,NBA,Jarnell Stokes,28,2,151,25,43,25,43,0,0,17,32,18,22,40,7,7,5,7,29,67,0.581,0.581,,0.581,0.531,0.587,1720059
972,2017,2017,LAC,NBA,Diamond Stone,7,0,24,3,13,3,13,0,0,4,4,1,5,6,0,0,1,2,5,10,0.231,0.231,,0.231,1,0.339,543471
973,2012,2014,TOT,NBA,Julyan Stone,47,2,327,22,50,18,31,4,19,13,18,9,39,48,51,12,6,18,35,61,0.44,0.581,0.211,0.48,0.722,0.527,1285799
974,2008,2008,MIL,NBA,Awvee Storey,26,0,259,39,89,39,82,0,7,14,29,31,23,54,16,7,1,10,41,92,0.438,0.476,0,0.438,0.483,0.452,711517
975,2008,2008,TOT,NBA,Damon Stoudamire,60,33,1037,120,337,70,188,50,149,27,34,20,98,118,165,30,2,80,76,317,0.356,0.372,0.336,0.43,0.794,0.45,7231438
976,2008,2008,ATL,NBA,Salim Stoudamire,35,0,402,65,180,36,95,29,85,41,50,4,20,24,28,7,5,21,34,200,0.361,0.379,0.341,0.442,0.82,0.495,783000
977,2008,2016,TOT,NBA,Amar'e Stoudemire,544,411,16031,3745,6896,3721,6804,24,92,2464,3136,1175,2725,3900,677,354,635,1165,1651,9978,0.543,0.547,0.261,0.545,0.786,0.603,146940503
978,2008,2008,PHO,NBA,D.J. Strawberry,33,0,270,29,92,23,67,6,25,9,19,9,19,28,30,12,6,11,36,73,0.315,0.343,0.24,0.348,0.474,0.364,427163
979,2008,2017,TOT,NBA,Rodney Stuckey,651,302,17890,2904,6870,2628,5949,276,921,2101,2551,419,1493,1912,2333,568,94,1181,1346,8185,0.423,0.442,0.3,0.443,0.824,0.512,48057071
980,2013,2017,TOT,NBA,Jared Sullinger,269,172,6532,1172,2685,1031,2167,141,518,408,564,684,1322,2006,477,180,161,332,784,2893,0.436,0.476,0.272,0.463,0.723,0.493,11994420
981,2010,2013,TOT,NBA,DaJuan Summers,83,7,820,103,268,74,189,29,79,43,67,24,58,82,29,18,8,37,104,278,0.384,0.392,0.367,0.438,0.642,0.467,1522920
982,2008,2009,TOT,NBA,Robert Swift,34,14,441,43,88,43,88,0,0,14,18,27,80,107,10,10,23,18,66,100,0.489,0.489,,0.489,0.778,0.521,6180244
983,2008,2009,TOT,NBA,Stromile Swift,75,4,1029,159,321,158,318,1,3,86,135,80,165,245,29,19,62,67,153,405,0.495,0.497,0.333,0.497,0.637,0.532,12000000
984,2011,2011,ATL,NBA,Pape Sy,3,0,21,2,6,2,5,0,1,3,3,2,1,3,2,1,0,3,1,7,0.333,0.4,0,0.333,1,0.478,473604
985,2008,2009,TOT,NBA,Wally Szczerbiak,149,7,3263,490,1120,331,734,159,386,239,281,77,372,449,186,51,22,131,233,1378,0.438,0.451,0.412,0.508,0.851,0.554,26550000
986,2016,2017,TOT,NBA,Edy Tavares,13,0,101,15,24,15,24,0,0,3,11,11,21,32,4,1,12,7,11,33,0.625,0.625,,0.625,0.273,0.572,2005145
987,2017,2017,HOU,NBA,Isaiah Taylor,4,0,52,1,7,1,5,0,2,1,2,1,2,3,3,1,1,0,6,3,0.143,0.2,0,0.143,0.5,0.19,305000
988,2013,2015,TOT,NBA,Jeffery Taylor,132,50,2566,299,731,217,474,82,257,127,191,80,183,263,107,72,21,92,234,807,0.409,0.458,0.319,0.465,0.665,0.495
989,2010,2011,TOT,NBA,Jermaine Taylor,65,12,786,139,315,120,248,19,67,54,74,47,61,108,48,24,8,65,54,351,0.441,0.484,0.284,0.471,0.73,0.505,1505871
990,2009,2009,LAC,NBA,Mike Taylor,51,5,771,110,267,97,227,13,40,56,81,22,65,87,106,36,0,73,84,289,0.412,0.427,0.325,0.436,0.691,0.477,500000
991,2013,2014,BRK,NBA,Tyshawn Taylor,61,3,491,63,178,54,153,9,25,39,57,5,28,33,57,25,1,56,54,174,0.354,0.353,0.36,0.379,0.684,0.428,1262476
992,2010,2017,TOT,NBA,Jeff Teague,600,465,16175,2682,6001,2172,4565,510,1436,1671,1979,192,1252,1444,3310,713,205,1349,1119,7545,0.447,0.476,0.355,0.489,0.844,0.549,39663717
993,2013,2014,TOT,NBA,Marquis Teague,88,3,835,81,232,72,191,9,41,35,51,4,80,84,121,19,12,74,93,206,0.349,0.377,0.22,0.369,0.686,0.405,3224040
994,2013,2017,TOT,NBA,Mirza Teletovic,314,14,5606,902,2228,382,813,520,1415,241,319,186,833,1019,263,100,81,248,538,2565,0.405,0.47,0.367,0.522,0.755,0.542,25687150
995,2008,2015,TOT,NBA,Sebastian Telfair,350,107,7600,969,2471,719,1697,250,774,413,532,105,461,566,1271,269,54,521,743,2601,0.392,0.424,0.323,0.443,0.776,0.481,14045169
996,2010,2017,TOT,NBA,Garrett Temple,374,122,6772,672,1675,413,926,259,749,282,394,149,582,731,604,304,95,329,644,1885,0.401,0.446,0.346,0.479,0.716,0.51,11741101
997,2008,2017,TOT,NBA,Jason Terry,715,117,19132,3097,7003,1939,3906,1158,3097,1115,1297,195,1134,1329,1969,683,138,902,1122,8467,0.442,0.496,0.374,0.525,0.86,0.559,69290972
998,2010,2014,TOT,NBA,Hasheem Thabeet,224,20,2357,182,321,182,321,0,0,119,206,203,392,595,27,59,184,123,453,483,0.567,0.567,,0.567,0.578,0.587,16779840
999,2014,2014,TOT,NBA,Adonis Thomas,6,1,37,6,14,5,9,1,5,1,1,0,3,3,3,0,0,1,6,14,0.429,0.556,0.2,0.464,1,0.485,60000
1000,2008,2008,TOT,NBA,Billy Thomas,11,0,42,4,17,0,1,4,16,2,2,0,2,2,0,1,0,4,4,14,0.235,0,0.25,0.353,1,0.391,775426
1001,2009,2011,TOT,NBA,Etan Thomas,62,8,709,73,155,73,155,0,0,41,60,49,104,153,9,8,38,41,85,187,0.471,0.471,,0.471,0.683,0.515,21811266
1002,2012,2017,TOT,NBA,Isaiah Thomas,441,309,13214,2726,6151,1860,3790,866,2361,2119,2420,246,894,1140,2277,431,46,1031,957,8437,0.443,0.491,0.367,0.514,0.876,0.585,22858699
1003,2008,2010,SAC,NBA,Kenny Thomas,57,5,656,36,81,36,81,0,0,7,17,57,105,162,29,22,12,39,89,79,0.444,0.444,,0.444,0.412,0.446,25212500
1004,2008,2013,TOT,NBA,Kurt Thomas,363,124,6410,660,1334,658,1329,2,5,142,205,486,1295,1781,307,182,250,217,856,1464,0.495,0.495,0.4,0.496,0.693,0.514,17443369
1005,2012,2017,TOT,NBA,Lance Thomas,273,76,5089,560,1309,471,1092,89,217,314,394,226,490,716,189,101,34,196,455,1523,0.428,0.431,0.41,0.462,0.797,0.514,10219716
1006,2012,2015,TOT,NBA,Malcolm Thomas,40,0,329,30,69,29,58,1,11,15,25,27,69,96,14,6,7,25,30,76,0.435,0.5,0.091,0.442,0.6,0.475,577104
1007,2008,2010,TOT,NBA,Tim Thomas,145,58,3472,529,1249,352,746,177,503,225,298,117,448,565,253,81,42,182,367,1460,0.424,0.472,0.352,0.494,0.755,0.529,19454655
1008,2008,2015,TOT,NBA,Tyrus Thomas,330,125,6966,1013,2338,1005,2306,8,32,685,905,461,1208,1669,307,282,449,433,827,2719,0.433,0.436,0.25,0.435,0.757,0.497,43376367
1009,2012,2012,LAC,NBA,Trey Thompkins,24,0,119,24,61,20,48,4,13,5,7,4,20,24,3,3,3,6,10,57,0.393,0.417,0.308,0.426,0.714,0.445,1235799
1010,2014,2017,TOT,NBA,Hollis Thompson,265,90,6424,742,1795,379,854,363,941,203,287,199,630,829,292,166,68,213,541,2050,0.413,0.444,0.386,0.514,0.707,0.533,2325378
1011,2009,2016,TOT,NBA,Jason Thompson,588,412,14819,2112,4255,2106,4213,6,42,980,1492,1264,2616,3880,635,283,414,747,1751,5210,0.496,0.5,0.143,0.497,0.657,0.53,33745625
1012,2012,2017,GSW,NBA,Klay Thompson,464,427,15182,3282,7243,1954,4072,1328,3171,962,1128,205,1349,1554,1045,422,251,810,1039,8854,0.453,0.48,0.419,0.545,0.853,0.572,41969895
1013,2012,2012,CLE,NBA,Mychel Thompson,5,3,95,7,24,3,13,4,11,0,0,0,5,5,7,2,1,5,8,18,0.292,0.231,0.364,0.375,,0.375,168035
1014,2012,2017,CLE,NBA,Tristan Thompson,466,316,13381,1723,3347,1723,3338,0,9,932,1525,1590,2436,4026,385,240,364,520,1123,4378,0.515,0.516,0,0.515,0.611,0.545,46524415
1015,2008,2011,TOT,NBA,Al Thornton,296,167,8274,1368,3029,1290,2763,78,266,713,954,392,841,1233,353,185,152,424,771,3527,0.452,0.467,0.293,0.465,0.747,0.511,8142916
1016,2010,2017,TOT,NBA,Marcus Thornton,483,135,11299,2124,5003,1389,2952,735,2051,767,924,407,941,1348,677,405,61,491,739,5750,0.425,0.471,0.358,0.498,0.83,0.531,35122638
1017,2008,2014,TOT,NBA,Jamaal Tinsley,188,75,3720,375,998,278,639,97,359,125,170,60,318,378,870,182,37,360,327,972,0.376,0.435,0.27,0.424,0.735,0.453,24740300
1018,2017,2017,CHO,NBA,Mike Tobey,2,0,25,1,4,1,4,0,0,0,0,2,1,3,1,0,0,1,2,2,0.25,0.25,,0.25,,0.25,138938
1019,2009,2017,TOT,NBA,Anthony Tolliver,520,78,10390,1079,2608,507,1027,572,1581,475,620,443,1391,1834,470,201,160,331,855,3205,0.414,0.494,0.362,0.523,0.766,0.556,20818060
1020,2016,2017,TOT,NBA,Axel Toupane,25,0,352,30,79,16,35,14,44,13,17,8,24,32,15,8,7,6,46,87,0.38,0.457,0.318,0.468,0.765,0.503,220581
1021,2016,2017,MIN,NBA,Karl-Anthony Towns,164,164,5657,1427,2633,1296,2270,131,363,579,703,525,1340,1865,381,114,241,395,486,3564,0.542,0.571,0.361,0.567,0.824,0.606,11663760
1022,2008,2010,TOT,NBA,Alando Tucker,51,1,426,77,182,67,148,10,34,47,60,29,20,49,16,5,2,19,22,211,0.423,0.453,0.294,0.451,0.783,0.506,3005520
1023,2013,2017,TOT,NBA,P.J. Tucker,401,290,11559,1174,2719,853,1804,321,915,502,665,689,1675,2364,648,501,104,442,926,3171,0.432,0.473,0.351,0.491,0.755,0.526,18146488
1024,2008,2015,TOT,NBA,Ronny Turiaf,378,103,6772,694,1309,694,1303,0,6,393,621,421,1040,1461,547,161,505,299,884,1781,0.53,0.533,0,0.53,0.633,0.563,21916947
1025,2008,2015,TOT,NBA,Hedo Turkoglu,478,356,13592,1925,4494,1216,2633,709,1861,1004,1292,259,1734,1993,1757,355,145,906,1195,5563,0.428,0.462,0.381,0.507,0.777,0.549,68734140
1026,2011,2017,TOT,NBA,Evan Turner,534,253,15048,2261,5244,2044,4516,217,728,880,1126,313,2355,2668,1968,443,129,1028,1087,5619,0.431,0.453,0.298,0.452,0.782,0.49,44620460
1027,2016,2017,IND,NBA,Myles Turner,141,111,3908,708,1399,665,1270,43,129,333,424,207,714,921,147,99,258,172,420,1792,0.506,0.524,0.333,0.521,0.785,0.565,4821600
1028,2012,2014,TOT,NBA,Jeremy Tyler,104,23,1034,157,349,157,348,0,1,59,106,98,171,269,25,23,42,68,164,373,0.45,0.451,0,0.45,0.557,0.471,2396488
1029,2012,2012,WAS,NBA,Edwin Ubiles,4,0,52,5,18,4,13,1,5,3,3,2,8,10,1,1,1,1,1,14,0.278,0.308,0.2,0.306,1,0.362
1030,2011,2015,TOT,NBA,Ekpe Udoh,270,52,4564,409,953,409,950,0,3,254,353,361,499,860,179,124,324,189,573,1072,0.429,0.431,0,0.429,0.72,0.484,15335512
1031,2008,2011,TOT,NBA,Ime Udoka,229,5,3425,365,924,237,535,128,389,118,169,120,505,625,188,134,36,143,310,976,0.395,0.443,0.329,0.464,0.698,0.489,3182266
1032,2008,2017,TOT,NBA,Beno Udrih,624,266,15502,2334,4955,1984,3948,350,1007,848,1010,263,1232,1495,2494,494,58,993,1054,5866,0.471,0.503,0.348,0.506,0.84,0.543,41999648
1033,2009,2010,TOT,NBA,Roko Ukic,85,0,987,137,354,123,280,14,74,53,71,27,51,78,165,31,2,66,83,341,0.387,0.439,0.189,0.407,0.746,0.443,1553232
1034,2017,2017,PHO,NBA,Tyler Ulis,61,15,1123,184,437,163,358,21,79,55,71,20,75,95,226,48,5,77,73,444,0.421,0.455,0.266,0.445,0.775,0.474,918369
1035,2017,2017,DAL,NBA,Jarrod Uthoff,9,0,115,16,38,13,29,3,9,5,7,8,14,22,9,2,4,3,8,40,0.421,0.448,0.333,0.461,0.714,0.487,113938
1036,2011,2012,TOT,NBA,Ben Uzoh,60,8,808,96,243,93,234,3,9,44,75,49,79,128,130,30,11,44,60,239,0.395,0.397,0.333,0.401,0.587,0.433,535037
1037,2013,2017,TOR,NBA,Jonas Valanciunas,363,357,9483,1630,2932,1629,2928,1,4,899,1151,972,2113,3085,240,136,387,530,1033,4160,0.556,0.556,0.25,0.556,0.781,0.605,29875024
1038,2017,2017,CHI,NBA,Denzel Valentine,57,0,976,102,288,29,80,73,208,14,18,11,140,151,63,30,7,49,86,291,0.354,0.363,0.351,0.481,0.778,0.492,2092200
1039,2017,2017,TOR,NBA,Fred VanVleet,37,0,294,39,111,28,82,11,29,18,22,4,38,42,35,16,3,15,36,107,0.351,0.341,0.379,0.401,0.818,0.443,543471
1040,2008,2017,TOT,NBA,Anderson Varejao,444,199,11496,1435,2790,1434,2760,1,30,658,995,1127,2347,3474,613,389,296,472,1121,3529,0.514,0.52,0.033,0.515,0.661,0.547,73164232
1041,2013,2014,TOT,NBA,Jarvis Varnado,37,0,397,39,67,39,67,0,0,29,56,21,51,72,16,11,31,16,72,107,0.582,0.582,,0.582,0.518,0.584,1173108
1042,2011,2017,TOT,NBA,Greivis Vasquez,401,157,9520,1378,3297,966,2117,412,1180,423,518,125,896,1021,1935,236,34,753,767,3591,0.418,0.456,0.349,0.48,0.817,0.509,22838814
1043,2008,2009,SAS,NBA,Jacque Vaughn,104,9,1431,145,358,141,347,4,11,77,98,17,79,96,214,29,1,69,123,371,0.405,0.406,0.364,0.411,0.786,0.462,2482225
1044,2016,2017,MIL,NBA,Rashad Vaughn,111,8,1459,138,422,69,194,69,228,14,20,15,122,137,62,48,26,42,105,359,0.327,0.356,0.303,0.409,0.7,0.417,3544080
1045,2012,2014,TOT,NBA,Jan Vesely,162,25,2455,263,505,263,503,0,2,64,157,225,337,562,96,107,84,123,384,590,0.521,0.523,0,0.521,0.408,0.514,9700920
1046,2008,2016,TOT,NBA,Charlie Villanueva,536,110,10233,2037,4774,1420,2973,617,1801,602,772,552,1718,2270,425,245,274,497,1098,5293,0.427,0.478,0.343,0.491,0.78,0.518,46679046
1047,2008,2008,NOH,NBA,Marcus Vinicius,13,0,69,9,20,4,8,5,12,5,11,1,7,8,2,1,1,3,4,28,0.45,0.5,0.417,0.575,0.455,0.564,687456
1048,2015,2017,TOT,NBA,Noah Vonleh,177,97,2698,277,624,254,545,23,79,116,171,250,528,778,65,61,62,125,326,693,0.444,0.466,0.291,0.462,0.678,0.496,7913280
1049,2008,2009,TOT,NBA,Jake Voskuhl,82,1,626,49,125,49,125,0,0,35,43,51,105,156,21,12,25,46,143,133,0.392,0.392,,0.392,0.814,0.462,3826153
1050,2012,2017,TOT,NBA,Nikola Vucevic,399,338,11912,2592,5159,2562,5058,30,101,593,825,1134,2820,3954,812,324,358,674,1071,5807,0.502,0.507,0.297,0.505,0.719,0.526,30958980
1051,2008,2017,TOT,NBA,Sasha Vujacic,391,47,6121,829,2060,432,1005,397,1055,304,359,131,634,765,494,235,28,233,586,2359,0.402,0.43,0.376,0.499,0.847,0.532,19523695
1052,2008,2017,TOT,NBA,Dwyane Wade,651,646,22429,5567,11484,5199,10235,368,1249,3533,4629,786,2297,3083,3490,1040,564,2019,1382,15035,0.485,0.508,0.295,0.501,0.763,0.556,167177743
1053,2008,2012,TOT,NBA,Von Wafer,183,14,2401,384,889,284,593,100,296,166,221,33,193,226,142,70,19,127,143,1034,0.432,0.479,0.338,0.488,0.751,0.524,2512731
1054,2013,2017,TOT,NBA,Dion Waiters,335,153,9572,1704,4123,1305,2969,399,1154,631,904,149,742,891,909,335,89,611,659,4438,0.413,0.44,0.346,0.462,0.698,0.491,19719270
1055,2008,2008,MIN,NBA,Antoine Walker,46,1,892,136,375,75,187,61,188,35,66,56,112,168,45,33,8,46,80,368,0.363,0.401,0.324,0.444,0.53,0.455,17184115
1056,2009,2015,TOT,NBA,Henry Walker,181,35,3016,386,865,196,350,190,515,117,154,55,346,401,153,93,27,142,375,1079,0.446,0.56,0.369,0.556,0.76,0.578,2248345
1057,2012,2017,TOT,NBA,Kemba Walker,443,398,15008,2845,6915,2053,4658,792,2257,1655,2001,265,1443,1708,2380,606,175,927,682,8137,0.411,0.441,0.351,0.469,0.827,0.522,34729731
1058,2011,2017,WAS,NBA,John Wall,500,488,18031,3417,7888,2991,6561,426,1327,2159,2728,293,1924,2217,4610,870,322,1912,1138,9419,0.433,0.456,0.321,0.46,0.791,0.518,71606015
1059,2008,2012,TOT,NBA,Ben Wallace,313,252,7712,466,1034,464,1022,2,12,199,497,825,1357,2182,369,323,381,243,475,1133,0.451,0.454,0.167,0.452,0.4,0.452,35632845
1060,2008,2015,TOT,NBA,Gerald Wallace,497,411,16711,2238,4867,1902,3809,336,1058,1733,2331,640,2591,3231,1238,744,371,994,1137,6545,0.46,0.499,0.318,0.494,0.743,0.555,88075000
1061,2008,2013,TOT,NBA,Rasheed Wallace,243,152,6545,999,2382,670,1389,329,993,303,396,193,1216,1409,314,246,300,218,672,2630,0.419,0.482,0.331,0.488,0.765,0.514,39998501
1062,2017,2017,ATL,NBA,Taurean Waller-Prince,59,10,981,114,285,81,183,33,102,74,94,25,132,157,55,43,27,61,96,335,0.4,0.443,0.324,0.458,0.787,0.513
1063,2008,2013,TOT,NBA,Luke Walton,302,65,4872,512,1231,425,952,87,279,137,200,212,558,770,698,158,47,299,434,1248,0.416,0.446,0.312,0.451,0.685,0.473,30291363
1064,2014,2014,PHI,NBA,Casper Ware,9,0,116,18,42,11,21,7,21,5,6,0,9,9,10,8,0,5,11,48,0.429,0.524,0.333,0.512,0.833,0.538
1065,2015,2017,PHO,NBA,T.J. Warren,153,64,3732,737,1469,678,1280,59,189,178,237,223,348,571,144,131,64,116,320,1711,0.502,0.53,0.312,0.522,0.751,0.544,6123120
1066,2011,2011,LAC,NBA,Willie Warren,19,0,134,13,35,8,20,5,15,6,8,1,11,12,27,6,0,8,16,37,0.371,0.4,0.333,0.443,0.75,0.48,500000
